Hospital Name,CITY,STATE,Rating,Number of Reviews,Plus Code
G Madegowda Superspeciality Hospital,MANDYA,KARNATAKA,3.8,66,
Aj Hospital And Research Centre,MANGALORE,KARNATAKA,3.8,66,
Athena Hospital,MANGALORE,KARNATAKA,3.8,66,
"City Hospital Research And Diagnostic 
Centre",MANGALORE,KARNATAKA,3.8,66,
Father Muller Medical College Hospital,MANGALORE,KARNATAKA,3.8,66,
KMC Hospital (Attavar),MANGALORE,KARNATAKA,3.8,66,
KMC Hospital Mangalore,MANGALORE,KARNATAKA,3.8,66,
Tejasvini Hospital And Ssiot (Mangalore),MANGALORE,KARNATAKA,3.8,66,
Tara Hospital,MANGALORE,KARNATAKA,3.8,66,
Indira Hospital,MANGALORE,KARNATAKA,3.8,66,
Unity Hospital,MANGALORE,KARNATAKA,3.8,66,
Sorake Chandra Shekar Hospitals (SCS),MANGALORE,KARNATAKA,3.8,66,
JSS Hospital,MYSORE,KARNATAKA,,,
